,Username,Content,Location,Created at
16,AlbertSolo2,dubes ri untuk korea selatan membenarkan bahwa pemerintah korea selatan telah mengeluarkan sejumlah aturan baru terkait dengan melonjaknya kasus omicron di negeri kimchi tersebut.warga korea selatan di larang berbicara selama berada di dalam transportasi umum dan wajib wfh,"Surakarta, Jawa Tengah",2022-02-04 07:54:38
17,Megatop99,test antigen kok untuk mendignose omicron..? ngehoax lagi ya mus..?,Indonesia,2022-02-04 07:54:30
18,dmr0523,"kirain wfh dari pabrik hanya mitos, ternyata tidak 😂 1 orang kena kepret omicron, bubar kabeh coek sak kantor e","Tangerang, Indonesia",2022-02-04 07:54:21
19,mheeseung,@pangyima omicron lagi naik bu.,"rant, dnss. ",2022-02-04 07:54:10
20,muhamadaan2,membatalkan agenda ke jakarta karna wedi omicron. tp galau pengen ikut ke purbalingga juga. paling akhirnya pol mentok ngopi di bjong ☺️,Yogyakarta ~,2022-02-04 07:54:07
21,Tragic___Scott,"yak udh kena omicron, skrng malah nambah ga bisa nyium bau sm ngerasain makanan🙂",,2022-02-04 07:53:58
22,MurtadhaOne,"pernyataan terbaru presiden jokowi terkait covid-19  jokowi: ""lonjakan ini sudah diperkirakan &amp; diantisipasi oleh pemerintah, dgn kesiapan2 kita yg sudah jauh lebih baik dibandingkan tahun2 lalu  omicron memang sangat menular, namun fatality rate nya jauh lebih rendah dari delta",Jkt-ygy Indonesia,2022-02-04 07:53:56
23,poskotaofficial,"kasus omicron meningkat, fatwa mui bolehkan sholat jum’at diganti sholat dzuhur  baca selengkapnya:","Jakarta, Indonesia",2022-02-04 07:53:38
24,liputan4com,"cegah omicron, anggota tugas dilapangan, diminta perketat prokes",Makassar,2022-02-04 07:53:22
25,tyangxkyun,@potatonyu alias yg sakit jg gak ngeh kalo dia tuh sebenernya kena omicron krn ngerasanya jg  kaya flu biasa aja,+62 / 96l,2022-02-04 07:52:52
26,AlbertSolo2,"duta besar ri untuk korea selatan membenarkan bahwa saat ini kasus omicron masih menjadi kasus yang mendominasi jumlah kasus di negara tersebut.pemerintah korea selatan bekukan sementara kegiatan wajib militer bagi warganya, karena adanya pandemi covid-19 yang belum selesai","Surakarta, Jawa Tengah",2022-02-04 07:52:36
27,MultazomS,ayo jaga kesehatan dari virus omicron baru ini.,,2022-02-04 07:52:07
28,iremimw0ya,omicron gasiee,NeoBoyz,2022-02-04 07:52:00
29,newsmerahputih,kasus covid-19 di indonesia terus mengalami kenaikan dalam sepekan terakhir. peningkatan kasus tersebut didorong oleh merebaknya penularan varian omicron.  #merahputihcom #omicron #covid19,Jakarta,2022-02-04 07:52:00
30,aguSXSudarsono,@qaillaasyiqah omicron minder liat beliau...,"Jakarta Capital Region, Indone",2022-02-04 07:51:41
31,RestinaSiagian,"sederet kabar baik dari who hingga luhut soal omicron, simak!",,2022-02-04 07:51:30
32,AlbertSolo2,"kasus omicron di korea selatan terus bertambah, pemerintah korea selatan larang keras warganya untuk berbicara selama berada di dalam bus atau kereta api cepat, semua pekerja kantoran dan asn di korea selatan wajib bekerja dari rumah 100%.semua rumah sakit di korea selatan full.","Surakarta, Jawa Tengah",2022-02-04 07:51:04
33,TambunHumas,[personil polsek tambun cegah penyebaran omicron di pasar tambun]  (humas polsek tambun),,2022-02-04 07:50:50
34,STARFUC46312433,@mia_kyushu jika varian omicron kawin sama varian delta akan lebih berbahaya . bisa2 nanti omicron kawin sama omygod  akan muncul varian baru bernama onasib .,,2022-02-04 07:50:38
35,klikanggaran,"fakta atau hoaks, paracetamol 500 gram, vitamin c dan vitamin d obatnya omicron?","DKI Jakarta, Indonesia",2022-02-04 07:50:19
36,Toni17250685,"#sebelum2024jokowilengser  bumame  mamah dedeh  bintang emon  kediri  jakarta  timur tengah  unpad  siang   bu siti fadilah: alhamdulillah omicron masuk ke indonesia, artinya c19 melemah, sdh akan mnjd flu biasa ( bill gates ) kecemasan luhut &amp; ancaman aneh nya sikapi dg senyum","Medan Baru, Indonesia",2022-02-04 07:50:19
37,Samir_Aslaam,"@dr_koko28 yg ini gimana dok..? omicron sdang naik loh, ntr rakyat juga yg disalahi. 👏🏿","کراچی, پاکستان",2022-02-04 07:50:12
38,iamquietrock,@asyooong23 delayed reaction? don't tell me tinamaan kang omicron sa boracay,"Angeles City, Central Luzon",2022-02-04 07:49:57
39,Bambang_Budimab,"@geloraco goubloug akut, omicron melanda mayoritas dunia bukan hanya di indonesia, wawasannya srmpit.",Jakarta Timur,2022-02-04 07:49:44
40,VIVAcoid,pakar ungkap ini kelompok rentan terinfeksi covid-19 omicron,"Jakarta, Indonesia",2022-02-04 07:49:33
41,TyasZain,"@tetepfrontal ok sip. makasih penjelasannya.  krn data eropa sih yg meninggal krn varian omicron 0,06% dr 155.150 kasus sepanjang 2021-2022 austria, siprus, estonia, finland, ireland, italy, liechtenstein, luxembourg, malta, norway, poland, portugal, romania, slovakia, sweden.","here, there and everywhere",2022-02-04 07:49:25
42,BejoKang1,varian omicron menyebar lebih cepat tapi gejala ringan,,2022-02-04 07:48:59
43,simbokajjah,@musniumar alhamdulillah wasyukurillah aamiin yra 🤲🤲🤲 jangan sembuh ya ttplah bersama omicron,,2022-02-04 07:48:46
44,Ghazy_Seabed,iya efek omicron kak,,2022-02-04 07:48:30
45,OlaSolahudin,@keuangannews_id jangan 2 omicron ini pesanan supaya harun masiku g d kejar. lumaya ngulur waktu,,2022-02-04 07:48:01
46,myrazra,@musniumar kok tau omicron darimana?? kok bukan delta atau virus wuhan?,,2022-02-04 07:47:48
47,suaramerdeka,"pasien covid 19 varian omicron boleh isoman di rumah, begini syaratnya",Semarang - Jateng - Indonesia,2022-02-04 07:47:47
48,AlbertSolo2,korea selatan kembali mengalami peningkatan jumlah kasus omicron di negaranya.presiden korea selatan larang keras warganya untuk berbicara dua arah selama berada di tranportasi umum seperti bus atau kereta api cepat.jam operasional toko dan usaha non esensial di persingkat,"Surakarta, Jawa Tengah",2022-02-04 07:47:39
49,missufebigwin26,"kasus covid cepet banget udah tinggi, omicron nular berkali2 lebih cepet",,2022-02-04 07:47:26
50,haibundacom,"dokter paru mengungkap alasan kenapa gejala covid-19 varian omicron tak semematikan delta. berikut penjelasan selengkapnya, bunda.",Indonesia,2022-02-04 07:47:08
51,AsmanaAgus,tetap bugar dan semangat meskipun omicron datang. kita harus menang !!  link video :,"Banyumas, Jawa Tengah",2022-02-04 07:46:44
52,Biskuat_macann,bru aja slsai kena gejala omicron.. lah ini apa lgi coba 🙂,,2022-02-04 07:46:42
53,Ady_Milanoo,gpp. omicron bisa pilih2 kerumanan. jd kagak ush dijelaskan. 😅,,2022-02-04 07:46:41
54,AndreClp,"@musniumar semoga omicron cepet ketemu tantecron, jadi anda bisa sembuh. caiyo!",Central Java,2022-02-04 07:46:24
55,asharifauzi2,webinar penanganan covid-19 omicron bersama kemendes pdtt. semoga kita semua diberi kesehatan dan terhindar dr covid-19 @jokowi  @halimiskandarnu  @malik_haramain @imansyukri @taufikmadjid71 @azzameldzikrie  @tppkemendes  @kemendesa @kpw4jatim @mift4hulmunir @cak_furi1,Jombang,2022-02-04 07:45:54
56,_rakyatmerdeka,"udah mulai kendor, petugas gabungan jakpus gelar operasi prokes  #jakarta #protokolkesehatan #omicron #omicronvariant #corona #coronavirus #covid19 #covid #rakyatmerdeka #rmid",,2022-02-04 07:45:46
57,Kanguja38486518,varian omicron menyebar lebih cepat tapi gejala ringan,,2022-02-04 07:45:46
58,KKemranjen,tetap bugar dan semangat meskipun omicron datang. kita harus menang !!  link video :,"Kemranjen, Indonesia",2022-02-04 07:45:42
59,Yuliayuuuu,happy birthday cepiooo 🤩🦄 sehat selalu hati-hati ya unicorn merajalela eh maksudnya omicron bahagia selalu deh ya 🤗✨😻 @a_fionyjkt48 @symfiony #blos20mingfiony,,2022-02-04 07:45:32
60,Hitesh_____,omicron ittu sa tha bas 😐,Bermuda Triangle,2022-02-04 07:45:24
61,SintaSucci,"setelah varian delta, terbitlah varian omicron yang cukup bikin warga jadi was-was. memang gejalanya ditemukan lebih ringan, namun penyebarannya berpotensi lebih cepat dibandingkan delta. yuk kita cek, kita bisa apa nih untuk melawan omicron?",Indonesia,2022-02-04 07:45:05
62,voidotid,"angkatan pertahanan australia telah terlibat dalam mengelola respons pandemi, dengan seorang letnan jenderal yang bertanggung jawab atas peluncuran vaksin dan pasukan menjadi bagian dari pemantauan penguncian wilayah.",Indonesia,2022-02-04 07:45:02
63,pubinform,kemenkes minta pasien omicron tanpa gejala isoman di rumah,"Cirebon, Jawa Barat, Indonesia",2022-02-04 07:44:55
64,AgusAsmana,tetap bugar dan semangat meskipun omicron datang. kita harus menang !!  link video :,"Banyumas, Indonesia",2022-02-04 07:44:31
65,Kangpacul16,varian omicron menyebar lebih cepat tapi gejala ringan,,2022-02-04 07:44:30
66,deBlitznews,antisipasi penyebaran omicron ketua rw 05 bsi lakukan penyemprotan disinfektan -,Indonesia,2022-02-04 07:44:20
67,Yudi_Arrr,@pedeipe_ musim omicron ngab,"Lamongan, Indonesia",2022-02-04 07:44:12
68,billycesara,"dah, mau bobo lagi gais, masih headache kayak digebuk stick golf ini sirah. omicron badjigur.",+62,2022-02-04 07:44:08
69,richardeanzzz,"omicron udah masuk ruangan gw, byuhhh... jauh2 deh jangan sampe kena (lagi). duh, bisa balik wfh lagi nih. stay safe everyone...  ngopi dulu deh... (asa teu nyambung geura)","Kota Surabaya, Jawa Timur",2022-02-04 07:44:01
70,DiditYulianto13,"cegah penyebaran varian omicron, tetap patuhi prokes, jangan panik dan tetap waspada.  kediri kota ""baik""  (beriman-amanah-inovatif-kondusif)  @divhumas_polri @humaspoldajatim @polreskotakdr  #kedirikotabaik #polripresisi #polreskedirikota",,2022-02-04 07:44:01
71,siarandepok,hal ini disampaikan jokowi mengingat tingginya kasus covid-19 di tanah air akibat adanya varian omicron,Depok,2022-02-04 07:44:00
72,hal_teddy,"@paulus_willy kata virus omicron.. ""bentar lagi gue pasti disalahin soal formula eek.. yakin sudah ini..!""  🤭🤭",,2022-02-04 07:44:00
73,pubinform,"ditanya soal paulus tannos dan harun masiku, kpk: tunggu omicron reda","Cirebon, Jawa Barat, Indonesia",2022-02-04 07:43:50
74,roswellnd,kepikiran omicron.. tp gue ga kemana mana anjir,rumah Tuhan,2022-02-04 07:43:23
75,KangBag42738500,varian omicron menyebar lebih cepat tapi gejala ringan,,2022-02-04 07:43:16
76,Konfrontasi_co,jokowi sebut pasien terpapar omicron tak perlu dirawat di rs,Jakarta,2022-02-04 07:43:05
77,Konfrontasi_co,"siti fadillah sebut omicron pertanda bagus, alasannya?",Jakarta,2022-02-04 07:43:03
78,tribunmedan,"hamil besar, siti badriah positif omicron, istri krisjiana baharudin beber gejala yang dirasakan    via @tribunmedan","Medan, Indonesia",2022-02-04 07:42:36
79,budi_anwirra,mbah mus kabarnya ke covid omicron.,"sandinge umahe tonggo, Jl wong",2022-02-04 07:42:26
80,PDistrodakwahm,hidup omicron,,2022-02-04 07:42:17
81,irndyhawww,plis jangan ngluyur kemana2 dulu guis.  omicron lg gila2an sekarang.   also me: yaaallah pengen pulkam😭,-,2022-02-04 07:42:14
82,ismizidantaft,"@aisyahyp27 kalo kata orang desa,wajar kalau musim pancaroba ini banyak yang sakit,gejalanya sama kek flu,otomatis banyak yang test takut covid,makin banyak yang test makin meningkat pula grafik omicron ini :)","Kota Yogyakarta, Yogyakarta",2022-02-04 07:42:03
83,maverickbobo,"@kulupfans @khairykj kalau la omicron tu boleh sembur, dah lama kena sembur dah ni. demi kuasa, semua jadi bodoh",Sepang,2022-02-04 07:42:03
84,Dzakimrd,@plumbinq omicron dan delta kan se ibu.. pernikahan dilarang 😭,Rumah berhantu,2022-02-04 07:41:57
85,cpnglt,"@jaallj mohon maaf, omicron lg dinaikkan dulu",,2022-02-04 07:41:56
86,trenotoid,dyandra promosindo telah menyiapkan strategi rencana cadangan iims 2022.,,2022-02-04 07:41:55
87,azkadotid,"maaf bukan menakuti, omicron tahan lama di plastik dan kulit",Sumenep,2022-02-04 07:41:45
88,biyubob,yg bilang omicron cuman flu sm demam biasa boong bgt 😭😭,,2022-02-04 07:41:27
89,IDCorner,"maaf bukan menakuti, omicron tahan lama di plastik &amp; kulit -    #idcorner","Central Java, Indonesia",2022-02-04 07:41:21
90,HustleUtkHasil,"@501awani to those yang kata ni konspirasi lah jadah apa lah. butoh hang mak hang belen. this is foreseen, cases surged due to omicron. tpi jgn risau, takde pkp yada2 dah. vaccination rate is high... take ur booster if possible and follow sop. everything will be fine. dh, benti menggelupur",,2022-02-04 07:40:39
91,goldeneagle2707,"beralih sejenak dr covid, omicron dan fans beratnya saudara² kita yg sangat paranoid. sekalian rehat dr gas tinggi.  mari naikkan sedikit levelnya pengen tau nih, temen² ada yg paham tentang ""cern""  open diskusi yuk.  😁😁  6 6 6",,2022-02-04 07:40:13
92,Jahry19,mengikuti webinar penanganan covid-19 varian omicron,,2022-02-04 07:40:11
93,AKHMADG13606011,"omicron, gejala dan cara penanganannya  @halimiskandarnu  @malik_haramain  @imansyukri  @taufikmadjid71  @kemendespdtt  @yusradaridesa  @azzameldzikrie  @nursaidm  @nurhamz25186363","Majene, Sulawesi Barat",2022-02-04 07:40:08
94,sinekadtraveler,"31 januari 2022,nyokap vaksin booster pfizer. kipi cuma pegel tangan aja. omicron mulai merajalela🤦‍♀️",pelukan gelas kopi,2022-02-04 07:40:05
95,democrazymedia,"bongkar kebohongan omicron di ri, eks menkes siti fadilah: tak perlu vaksin booster segala!",Indonesia,2022-02-04 07:40:00
96,republikaonline,"saat ini cakupan vaksinasi lansia baru mencapai 74,38 persen.","Jakarta, Indonesia",2022-02-04 07:39:58
97,SahidoB,"mengikuti arahan menteri secara webinar penanganan covid-19 varian omicron"" omicron, gejala dan cara penanganannya """,,2022-02-04 07:39:44
98,radiomercury96,"kasus omicron naik, lanyalla minta pemerintah ambil langkah konkret via @radiomercury96","Kota Surabaya, East Java",2022-02-04 07:39:27
99,biyubob,"@indahutamich huhu iya makasih ndah, jaga kesehatan ya omicron jahat bgt huhu 🙏",,2022-02-04 07:39:21
100,Alyafatho,gubernur jawa tengah @ganjarpranowo merespons adanya dugaan delapan kasus omicron yang terdeteksi di kabupaten banyumas.  yut  #sahabatganjar,,2022-02-04 07:39:18
101,malikaacu,@ponakanneptunus tapi keknya bakal iya secara sekarang angka omicron meningkat😔,"Jakarta Timur, DKI Jakarta",2022-02-04 07:39:06
102,infoJATIASIH,masjid² di jatiasih bagaimana?,"Jatiasih, Bekasi",2022-02-04 07:39:03
103,mercuryinureyes,"satu keluarga aku kena omicron, stay safe everyone.","Amsterdam, The Netherlands",2022-02-04 07:38:36
104,Ekazef__,"kita harus bangun optimisme umkm saat kasus omicron naik. menteri badan usaha milik negara (bumn) erick thohir mengajak pelaku usaha mikro, kecil, dan menengah (umkm) untuk tetap semangat &amp; optimistis. #denganetmerdekaberdaulat","Medan, Indonesia",2022-02-04 07:38:09
105,RingtimesBerita,"update kasus aktif covid-19 3 februari 2022, tembus 27 ribu, rekor tertinggi omicron di indonesia","Banyuwangi, Jawa Timur ",2022-02-04 07:38:05
106,SFatoni_1,"@boilersupplier @musniumar omicron itu kafir...dia mentarget bulan ramadhan, biar umat islam dipersulit ibadah.","Purwokerto Utara, Indonesia",2022-02-04 07:38:05
107,iamtegarpribadi,"basketan sama orang yang ga dikenal gas, giliran soljum : takut kena omicron ! astagfirullaaaaaahhhhh",,2022-02-04 07:38:02
108,Tubagus35942358,"pjlp prov.dki blm di gaji pak @aniesbaswedan...keputusan naik tidaknya blm jelas, kabar terakhir masih sama dengan tahun lalu... omicron mulai mengancam pak @jokowi, keadaan tidak ad kemajuan... perfect👍","Cengkareng, Indonesia",2022-02-04 07:38:00
109,ferro_cn,penciumanku belum pulih omicron udah naik aja,,2022-02-04 07:37:57
110,haibundacom,kabar tak menyenangkan datang dari dunia hiburan. siti badriah yang tengah hamil 7 bulan dinyatakan terpapar covid-19 varian omicron. lihat kondisinya saat ini.,Indonesia,2022-02-04 07:37:54
111,thelarats,nak mengundi omicron pun tak lut,"siling kapur, tepi lampu neon.",2022-02-04 07:37:51
112,FirmRei,"cegah penyebaran omicron, ditlantas polda sulsel gencarkan olahraga bersama",,2022-02-04 07:37:41
113,saputra_abra,"omicron melonjak, perhimpunan guru desak anies hentikan ptm sebulan penuh",Depok,2022-02-04 07:37:32
114,inevluence,jujur bgt takut mo ke depok di omicron fase gini,,2022-02-04 07:37:18
115,Baskara_Bola,"krn kondisi begini kan, omicron juga makin bertambah ni kasusnya, jadi salah satu strategi ptfi dengan program sim keliling di area tambang ni sgt membantu karyawan ya gaes",,2022-02-04 07:36:35
116,AlbertSolo2,"bekas penjajah indonesia belanda menghimbau warganya untuk tidak melakukan perjalanan keluar negeri, jika tidak begitu penting di negara tersebut.apalagi omicron masih sangat berbahaya bagi kelompok usia lanjut dan mereka yang memiliki penyakit bawaan atau komorbid.","Surakarta, Jawa Tengah",2022-02-04 07:36:20
117,dimas_skeptis,"@musniumar jadi gini mus  kalau hanya untuk positif covid, dalam waktu cepat langsung bisa diketahui  swab antigen : dalam hitungan menit  pcr : dalam hitungan jam  namun kalau bicara varian omicron, butuh pemeriksaan yg namanya ""whole genome sequencing"". nggak semua lab bisa, waktunya lama",Indonesia,2022-02-04 07:36:17
118,12_Allid,"omicron itu ga bahaya , yg bahaya itu omluhut *ehhhh somasi ga ni ?? 🤣🤣",,2022-02-04 07:36:06
119,kompascom,kasus omicron di indonesia kian meningkat. data kemenkes (3/2/2022) terdapat 3.161 kasus. kapan seseorang paling menular saat terinfeksi omicron?,Jakarta,2022-02-04 07:35:37
120,MajalahInternet,"kasus covid-19 di jepang meroket, sebagian besar wilayah jepang yang kini berada di bawah pembatasan covid-19 berupaya untuk menekan penularan omicron yang mengganas di kalangan masyarakat. #covid19 #jepang",Indonesia,2022-02-04 07:35:30
121,hanifyahyaasya1,"mestinya dia teriak: pembohoooooooooooong!!! seperti mantan menkes, dr.siti fadilah supari ini! wong, bill gates aja, kata bu siti fadilah supari, bilang begitu? (omicron ga bahaya) jd, ga usah lebaaaay! apalagi sampe mo tutup masjid utk shalat jum'at!",,2022-02-04 07:35:24
122,KTabahawa,@rinichan02 @aniesbaswedan @musniumar @dprddki @kpk_ri positif omicron semoga nda parah,"Wagir , Kabupaten Malang",2022-02-04 07:35:09
123,Guard31Tony,"@anjasmara_ferry nikmati aja @musniumar jangan hanya terima bansos lantas sok sok an tebar hoax jembatan rubuh! corona omicron nyata lho mus, mematikan!",,2022-02-04 07:35:00
124,MadiAzmadi,"kenaikan kes memang dijangka terutamanya disebabkan gelombang omicron serta cuti perayaan dalam januari dan awal februari.  jika kesan buruk daripada covid-19 kekal rendah dan terkawal, proses ke arah lebih banyak pembukaan sektor &amp; aktiviti ekonomi/sosial boleh berjalan lancar.",,2022-02-04 07:34:58
125,detikcom,omicron memang dikenal sebagai varian covid-19 yang menular lebih cepat dibandingkan lainnya. ini panduan positif omicron yang bisa dilakukan. jangan panik!,"Jakarta, Indonesia",2022-02-04 07:34:54
126,liatono,"@musniumar prof, tolong kasih tahu caranya bagaimana bisa segera tahu variannya  omicron ?",Kelapa Gading-Jakarta,2022-02-04 07:34:51
127,syllabusss,gila ya ini omicron cpt bngt gue jd pikiran,,2022-02-04 07:34:44
128,yudianto99,"menteri badan usaha milik negara (bumn) erick thohir mengajak pelaku usaha mikro, kecil, dan menengah (umkm) di bekasi, jawa barat, untuk tetap semangat dan optimistis dalam menghadapi situasi yang terjadi saat ini. #denganetmerdekaberdaulat",J'kada,2022-02-04 07:34:37
129,jodohjeonwonu,isoman berapa hari ya kalo omicron tanpa gejala,wonu shua bonon kyeom,2022-02-04 07:34:05
130,bakpiamadu,"@musniumar kok bisa hanya dengan antigen, diputuskan covid omicron ???","Tangerang, Banten",2022-02-04 07:34:04
131,e100ss,mayoritas pasien omicron alami nyeri dan gatal tenggorokan,"Kota Surabaya, Jawa Timur",2022-02-04 07:33:37
132,NenkMonica,"anda setuju retweet! “kalau omicron datang malah alhamdulillah, welcome omicron, karena justru dengan adanya omicron terjadi imunitas pada komunitas yang luas. artinya, covid-19 hanya akan menjadi flu biasa. ini yang ngomong bill gates lho, bukan siti fadilah,” kata siti fadilah.","Cengkareng, Indonesia",2022-02-04 07:33:33
133,haywafaa,dada sesek badan pegel pegel kirain omicron ternyata belum dipeluk ayang,,2022-02-04 07:33:27
134,zona_raya,"badai omicron mengancam, pegawai dan jaksa kejati jatim divaksin booster","Kota Surabaya, Jawa Timur",2022-02-04 07:33:06
135,jogjamnfs,"jog minta saran dong, sabtu nanti ada urusan ke jakarta. tp maju mundur karna omicron. gimana ya enaknya. separah itu nggak sih?",bagian dari @jogmfs,2022-02-04 07:32:49
136,Scum013,geus mulai ieu si omicron?,Kebon kosong,2022-02-04 07:32:41
137,antaranews,"kasus covid-19 di jepang meroket, sebagian besar wilayah jepang yang kini berada di bawah pembatasan covid-19 berupaya untuk menekan penularan omicron yang mengganas di kalangan masyarakat. #covid19 #jepang",NKRI,2022-02-04 07:32:37
138,Moeliadji1,@areajulid awaass..!! varian omicron bisa menyebabkan hilang nya akal sehat dan keadilan..🤭🤣🤣,,2022-02-04 07:32:20
139,AnggaDe15621525,@fadlizon pd gak nonton pidato presiden tentang omicron ya ? 😀 kan dah di bilang omicron penyebaranya sangat cepat lebih cepat dr delta namun tidak seberbahaya delta. jd kalian yg positif omicron silahkan karantina mandiri dan konsumsi vitamin. sampe disini dah di mengerti kah pak fadli?,,2022-02-04 07:32:12
140,donnydram,"@musniumar antigen skr sudah bisa mendeteksi varian omicron. ruarr bisaaa.  cepet sehat ya, kangmus.","Bandung, Jawa Barat",2022-02-04 07:32:04
141,KalimayaBaskara,tempat wisata di kota batu masih beroperasi seperti biasa di tengah melonjaknya kasus positif covid-19 akibat adanya varian omicron.  selengkapnya :,"Malang, Indonesia",2022-02-04 07:31:55
142,voidotid,kami saat ini sudah menyiagakan petugas kesehatan selama 24 jam untuk memonitor warga yang terkonfirmasi positif covid-19,Indonesia,2022-02-04 07:31:34
143,babegalak1,"tidak perlu panik pasien terdampak varian omicron juga dapat disembuhkan tanpa harus ke rumah sakit. pasien yang terpapar varian ini cukup melakukan isolasi secara mandiri di rumah, minum obat dan multivitamin, serta segera tes kembali setelah lima hari...tetap jaga prokes ya",,2022-02-04 07:31:19
144,iamkerolx,"katanya gelombang omicron melanda, silap2 boleh lajak p 10k++ ni",Kayangan city,2022-02-04 07:31:18
145,NewssatuCom,"empat pasien rsud moh anwar diduga positif covid-19 varian omicron: news satu, sumenep, jum’at 4 februari 2022- sejak kementerian kesehatan melakukan pelacakan masuknya virus covid-19 varian omicron ke indonesia dengan kasus pertama    the post empat",,2022-02-04 07:31:05
146,bintoro_89,"negeri apa sih ini. rusak budaya sosial dan moral indonesia. omicron hanya berlaku di @dkijakarta tidak berlaku di bandung,subang dan apalagi medan berkat cukong eh jokowi eh cukong eh jokowi eh cukong eh jokowi  @jokowi @kspgoid @mohmahfudmd @markonah_003",,2022-02-04 07:31:03
147,olis_5170,"@plumbinq makanya si omicron sebelum kawin sama si delta, kita kawinin dulu, nanti pas malem pertama kita cekek biar mampuss",Bekasi,2022-02-04 07:31:01
148,berrymark,@musniumar banyak berdoa dan minta maaf sama tuhan kalo merasa berbuat salam kepada orang lain. jangan nulis di medsos kalo sekarang kena omicron 😇,,2022-02-04 07:30:56
149,RadioElshinta,"kasus omicron melonjak, korsel perpanjang pembatasan covid-19.","ÜT: -6.187385,106.733011",2022-02-04 07:30:25
150,nanang310873,"akhirnya omicron mengalahkan dunia pendidikan kita .sekolah daring lagi .yang sabar ya le...semoga setelah omicron, nanti ga ada cron cron yg lain ..sampai mereka mendapatkan pendapatan sesuai yg mereka harapkan...jangan sampai virus ini akan berhenti ..",Semarang,2022-02-04 07:30:24
151,detikcom,siti badriah tak menyangka terpapar covid-19 diduga jenis omicron saat hamil besar. dia tak mau menyalahkan siapapun.,"Jakarta, Indonesia",2022-02-04 07:30:22
152,tqa_hamzah,"if malaysia boleh overcome case covid harian yg ribu ribu ni sebab omicron or apa apa la,and kalau majority cases gejala 1 and 2 kenapa tak isytihar as endemik? org pun akan kurang takut jugak kot dengan number of cases yg makin hari makin nk dekat 10k ni😑. #my2cents","Johor Bahru, Johor",2022-02-04 07:30:08
153,AbyQasim,@musniumar batuk sama dengan omicron,"Lombok Barat, Nusa Tenggara Ba",2022-02-04 07:30:01
154,soetanto08,test antigen mana bisa tahu itu omicron ? sekelas rektor begini?,"Surabaya, Indonesia",2022-02-04 07:29:50
155,SUYADNYYA,yang bawa omicron keindonesia bisa dipenjara gak sih?,+62,2022-02-04 07:29:49
